source_domain,strength_grade_enc,concrete_type_enc,fiber_type_enc,curing_days,fiber_content,aspect_ratio,w_b_ratio,binder_content,cement_content,mixing_water,fly_ash,slag_powder,data_tier,extraction_method,eligible_for_main_oof,eligible_for_aux_training,needs_manual_review,source_group,synthetic_generated_at_utc
fiber,12.0,0.0,0.0,-7.220730589950932,3.487358571361341,150.0,0.5760976580451977,200.93775418216865,71.92662576454393,124.20015372782481,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-2.1340101246977525,3.5550825998752464,150.0,0.5724991400969652,252.61043598964207,47.09193327600394,88.10985859899503,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-11.124025866943146,3.7609445780991635,150.0,0.5610241830111765,166.32603790362276,54.361850162357655,129.23864310222507,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-3.4209019945283785,1.8749804224388318,150.0,0.4735675594815501,567.5191167249524,54.55403890183402,121.79620838175657,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-6.005784934876715,1.9155656100773704,150.0,0.5034945792409935,145.99397598857092,45.70422982614173,72.67109371165252,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,6.044691012962765,3.6212057238563604,150.0,0.5462120292928048,201.0012864172395,224.14693878308623,99.95648275657433,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-2.5686597119653314,3.6465859785438286,150.0,0.540174585185696,138.18457352229603,78.66419898892627,117.49218124355855,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-9.43555579162306,1.893853911978582,150.0,0.5717634455459942,316.5067384202358,57.86816539327555,121.44645141583025,0.0,37.55351672411154,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-7.942296479053212,3.7076389365897517,150.0,0.5541901329724592,351.3299787742652,85.30215528180128,123.51557080989892,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-4.070709347061239,1.8669325258664329,150.0,0.5734392785253257,266.56809246802334,94.5710469700764,126.69165636319468,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,10.481625948728087,2.068470334927585,150.0,0.5770984090436495,408.80446593246444,59.5599988331341,69.25335456843368,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-8.570136754488928,2.9492088706801285,150.0,0.5661835148637552,463.91953099887724,102.12003625663885,67.75108741024272,0.0,1.2928443025683798,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-3.3984984565312573,3.8331607812506236,150.0,0.5759939592928403,290.8986589185527,102.59430876839036,85.87015438562281,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-9.606377858666079,3.471398261208746,150.0,0.5701206196393405,276.8718900871998,76.29779961746345,128.08310311448523,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-4.230890497362196,3.3672519797126794,150.0,0.5781213984423909,266.2857646461699,57.390286670530884,103.83521677175227,0.0,39.61129618001572,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,7.674933578998434,3.883532985562877,150.0,0.5591901643256001,317.0503796763554,38.15970183152956,123.1272244186658,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-8.286616118456251,1.2227648856572368,150.0,0.5612940893836817,192.5598477503463,69.37316813934774,132.9521832835428,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-0.35057414737017467,3.6470650545125736,150.0,0.5573565019141368,521.670169850994,57.21198370224994,127.13790317484595,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,0.9722979654450583,2.7156737856995203,150.0,0.5650688940616507,381.34503805646915,82.08400233344094,73.70299211563872,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-2.7945020400626674,1.8714660706496393,150.0,0.5668866505578682,112.47876806163396,82.27219449887843,121.97127085649439,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-10.26416371645098,3.8899283812111154,150.0,0.5839961287142034,423.2938566050728,215.00809375516286,127.02151616552399,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,14.996918709870869,3.7682985978299657,150.0,0.5562779107683152,248.97241661429285,46.48315281195039,48.40207280858027,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-9.29264539913521,3.0682966213050484,150.0,0.561314006255879,150.67404581566092,93.74868215390148,65.12413784148626,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-8.93081931303307,3.7035351983765397,150.0,0.5802703404585778,297.2826391540393,67.945164352201,89.92803616123834,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-1.2683990447676194,4.410487088654,150.0,0.581352701214371,154.46703274822067,46.039718980805446,128.33356313893853,0.0,37.65837131191213,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-2.8338358963709,3.0661732914561894,150.0,0.527293448653388,577.6784229089086,75.88405196650461,124.04659712352802,0.0,32.83445240145639,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-8.204413072549755,3.9036185772406866,150.0,0.568475426233741,406.1013411481297,97.88948604373658,92.76687932534122,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-2.878402918870165,3.3185154057534456,80.03968127121038,0.5497565889519629,180.6395899414673,45.17636604483704,122.06228328336988,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
fiber,12.0,0.0,0.0,-4.6374276380606005,3.6820206545769842,150.0,0.571004466757821,231.84085765208397,42.335024967830236,130.98511256633822,0.0,0.0,C,synthetic_gan,0,1,0,GAN_SYNTH,2026-04-29T02:13:07Z
